leagueNation,league,team name,num,name,age,nationality,position,market value
England,EPL,Manchester City,19,Julián Álvarez,24,Argentina,ST,90000000.0
England,EPL,Manchester City,9,Erling Haaland,23,Norway,ST,180000000.0
England,EPL,Arsenal FC,9,Gabriel Jesus,27,Brazil,ST,70000000.0
England,EPL,Arsenal FC,14,Eddie Nketiah,24,England,ST,30000000.0
England,EPL,Chelsea FC,15,Nicolas Jackson,22,Senegal,ST,35000000.0
England,EPL,Chelsea FC,36,Deivid Washington,18,Brazil,ST,9000000.0
England,EPL,Liverpool FC,9,Darwin Núñez,24,Uruguay,ST,70000000.0
England,EPL,Tottenham Hotspur,9,Richarlison,26,Brazil,ST,40000000.0
England,EPL,Tottenham Hotspur,16,Timo Werner,28,Germany,ST,17000000.0
England,EPL,Manchester United,11,Rasmus Højlund,21,Denmark,ST,65000000.0
England,EPL,Manchester United,9,Anthony Martial,28,France,ST,10000000.0
England,EPL,Aston Villa,11,Ollie Watkins,28,England,ST,65000000.0
England,EPL,Aston Villa,24,Jhon Durán,20,Colombia,ST,17000000.0
England,EPL,Newcastle United,14,Alexander Isak,24,Sweden,ST,70000000.0
England,EPL,Newcastle United,9,Callum Wilson,32,England,ST,13000000.0
England,EPL,Brighton & Hove Albion,28,Evan Ferguson,19,Ireland,ST,60000000.0
England,EPL,Brighton & Hove Albion,9,João Pedro,22,Brazil,ST,45000000.0
England,EPL,Brighton & Hove Albion,18,Danny Welbeck,33,England,ST,6000000.0
England,EPL,West Ham United,18,Danny Ings,31,England,ST,9000000.0
England,EPL,West Ham United,9,Michail Antonio,34,Jamaica,ST,6000000.0
England,EPL,West Ham United,45,Divin Mubama,19,England,ST,1000000.0
England,EPL,Brentford FC,17,Ivan Toney,28,England,ST,50000000.0
England,EPL,Brentford FC,7,Neal Maupay,27,France,ST,12000000.0
England,EPL,Crystal Palace,22,Odsonne Edouard,26,France,ST,20000000.0
England,EPL,Crystal Palace,14,Jean-Philippe Mateta,26,France,ST,10000000.0
England,EPL,Crystal Palace,9,Jordan Ayew,32,Ghana,ST,4000000.0
England,EPL,Nottingham Forest,9,Taiwo Awoniyi,26,Nigeria,ST,28000000.0
England,EPL,Nottingham Forest,11,Chris Wood,32,New Zealand,ST,7000000.0
England,EPL,Nottingham Forest,27,Divock Origi,28,Belgium,ST,5000000.0
England,EPL,Nottingham Forest,37,Rodrigo Ribeiro,18,Portugal,ST,3000000.0
England,EPL,AFC Bournemouth,9,Dominic Solanke,26,England,ST,35000000.0
England,EPL,AFC Bournemouth,26,Enes Ünal,26,Türkiye,ST,20000000.0
England,EPL,Everton FC,9,Dominic Calvert-Lewin,27,England,ST,22000000.0
England,EPL,Everton FC,14,Beto,26,Portugal,ST,22000000.0
England,EPL,Everton FC,28,Chermiti,19,Portugal,ST,9000000.0
England,EPL,Wolverhampton Wanderers,12,Matheus Cunha,24,Brazil,ST,42000000.0
England,EPL,Wolverhampton Wanderers,11,Hee-chan Hwang,28,"Korea, South",ST,25000000.0
England,EPL,Wolverhampton Wanderers,-,Nathan Fraser,19,Ireland,ST,1000000.0
England,EPL,Wolverhampton Wanderers,84,Leon Chiwome,18,England,ST,200000.0
England,EPL,Fulham FC,9,Armando Broja,22,Albania,ST,28000000.0
England,EPL,Fulham FC,19,Rodrigo Muniz,22,Brazil,ST,10000000.0
